X,Y,Z
487.8096,123.4453,71.40739
487.7846,123.4516,71.42896
487.7614,123.4575,71.44954
487.7394,123.4628,71.47005
487.712,123.4685,71.49535
487.6847,123.4744,71.52124
487.658,123.4806,71.54718
487.6342,123.4865,71.57123
487.6109,123.4923,71.59552
487.5887,123.497,71.61916
487.5672,123.502,71.64169
487.543,123.5078,71.66595
487.5141,123.5148,71.69412
487.4874,123.5218,71.72026
487.4611,123.5291,71.74599
487.437,123.5377,71.77016
487.4149,123.546,71.79283
487.3872,123.5545,71.82171
487.3577,123.5639,71.85334
487.3322,123.5724,71.88173
487.3093,123.5801,71.90825
487.2855,123.5874,71.93654
487.2607,123.5933,71.96628
487.2333,123.5993,71.99862
487.2058,123.6055,72.0321
487.1797,123.6119,72.06505
487.1553,123.6179,72.09723
487.1317,123.625,72.12948
487.1105,123.6314,72.15874
487.0832,123.6392,72.19429
487.0558,123.6472,72.23015
487.0283,123.6547,72.26705
487.0052,123.6614,72.29912
486.981,123.6686,72.33385
486.9601,123.6748,72.36472
486.9308,123.6827,72.40558
486.8962,123.692,72.45347
486.8633,123.7016,72.50063
486.8332,123.711,72.54587
486.8055,123.7199,72.58945
486.7791,123.7271,72.63268
486.7532,123.7333,72.67709
486.7303,123.7404,72.71798
486.7074,123.748,72.75983
486.6797,123.7568,72.80811
486.6536,123.7646,72.85614
486.6299,123.7713,72.90198
486.6078,123.7775,72.94676
486.5832,123.7844,72.99695
486.557,123.7915,73.05101
486.5316,123.7982,73.1072
486.5091,123.8038,73.15911
486.4882,123.81,73.20885
486.4628,123.8184,73.265
486.4342,123.8262,73.32396
486.4072,123.8342,73.38106
486.3838,123.8429,73.43569
486.3538,123.8528,73.50513
486.3179,123.8641,73.58567
486.2838,123.8737,73.66452
486.2518,123.881,73.73977
486.221,123.8879,73.81194
486.1914,123.8936,73.88041
486.1528,123.9025,73.96945
486.1098,123.9128,74.07286
486.0697,123.9203,74.17316
486.0334,123.9269,74.26741
485.9999,123.9348,74.35769
485.9578,123.9451,74.47186
485.9082,123.9537,74.61553
485.8622,123.9571,74.761
485.8264,123.9609,74.88246
485.7772,123.967,75.05328
485.7222,123.9672,75.265
485.678,123.9713,75.46307
485.6413,123.9678,75.64874
485.5951,123.9654,75.88971
485.5531,123.9584,76.15955
485.5244,123.9496,76.41162
485.5026,123.9438,76.63035
485.4687,123.9388,76.92915
485.446,123.9217,77.24458
485.4366,123.9111,77.51686
485.4305,123.8989,77.74775
485.4255,123.8819,78.05943
485.4322,123.8643,78.39035
485.4685,123.853,78.67149
485.5154,123.8354,78.91003
485.5699,123.8133,79.22762
485.6398,123.799,79.54237
485.7218,123.7789,79.81225
485.79,123.7615,80.03835
485.8625,123.7558,80.32387
485.9469,123.7484,80.62127
486.022,123.742,80.86603
486.0891,123.7409,81.07301
486.181,123.7417,81.33672
486.2813,123.7419,81.60278
486.371,123.7439,81.82485
486.4459,123.7473,81.99825
486.5504,123.753,82.2264
486.6655,123.7621,82.4614
486.7683,123.774,82.65993
486.8574,123.7846,82.82262
486.9714,123.7993,83.01926
487.0985,123.8111,83.22991
487.2133,123.8188,83.41452
487.3103,123.8323,83.56123
487.4378,123.8478,83.74512
487.5798,123.8589,83.93907
487.7087,123.8647,84.10585
487.8174,123.8713,84.24232
487.9647,123.879,84.41924
488.1213,123.8806,84.59743
488.2603,123.8811,84.75053
488.3817,123.88,84.88094
488.5374,123.8727,85.04547
488.6969,123.8698,85.21102
488.8424,123.8662,85.35807
488.9755,123.858,85.49066
489.0877,123.8528,85.60119
489.2342,123.8457,85.74334
489.4061,123.8336,85.90488
489.5593,123.821,86.04443
489.7003,123.8062,86.16708
489.8319,123.7927,86.27852
489.943,123.7824,86.37234
490.1002,123.7668,86.50132
490.2823,123.7457,86.64417
490.4453,123.73,86.76524
490.5941,123.7147,86.87469
490.7271,123.6984,86.97066
490.8508,123.6841,87.05713
491.0255,123.6639,87.17213
491.2104,123.6437,87.28761
491.3806,123.6264,87.3886
491.5385,123.6111,87.48029
491.6616,123.6022,87.53695
491.7669,123.6035,87.50296
491.8791,123.5962,87.47201
491.9801,123.5874,87.45026
492.0888,123.5836,87.43084
492.2021,123.5786,87.43779
492.3559,123.5698,87.48855
492.4901,123.5592,87.54527
492.6072,123.5515,87.59728
492.7609,123.5427,87.66447
492.9276,123.5334,87.73457
493.077,123.5294,87.79679
493.208,123.5244,87.85017
493.3305,123.5182,87.89842
493.4382,123.5146,87.94075
493.5796,123.5121,87.99541
493.7238,123.5094,88.05078
493.8584,123.5069,88.10214
493.978,123.5042,88.14848
494.0865,123.5019,88.19109
494.1793,123.5004,88.2278
494.2673,123.5009,88.26306
494.3884,123.5031,88.31245
494.5141,123.5047,88.36556
494.6337,123.5043,88.4175
494.7406,123.5028,88.4644
494.8429,123.5031,88.50981
494.939,123.5039,88.55293
495.0266,123.5045,88.59327
495.1477,123.5053,88.65004
495.2797,123.5069,88.71397
495.4106,123.5075,88.77858
495.5247,123.5065,88.835
495.6357,123.5055,88.89038
495.7363,123.5071,88.94262
495.8288,123.5105,88.99157
495.9509,123.514,89.05743
496.0956,123.5137,89.13734
496.2274,123.5104,89.21303
496.3522,123.5088,89.28757
496.4658,123.5083,89.35616
496.5691,123.5072,89.41879
496.7053,123.504,89.5021
496.8602,123.4985,89.60067
496.9983,123.4934,89.6912
497.1276,123.4887,89.77682
497.2446,123.4825,89.85478
497.3531,123.4717,89.92757
497.4918,123.4568,90.02246
497.6483,123.4396,90.13241
497.7979,123.4182,90.23923
497.936,123.3968,90.33952
498.0596,123.3797,90.4317
498.1737,123.3624,90.51805
498.3221,123.3373,90.62953
498.4821,123.3068,90.75099
498.6346,123.2759,90.86996
498.7833,123.2439,90.98703
498.9065,123.2135,91.08508
499.0304,123.1768,91.18462
499.1459,123.1443,91.27778
499.2552,123.1135,91.36649
499.4113,123.0704,91.4917
499.574,123.0222,91.6217
499.7355,122.9684,91.75208
499.8883,122.917,91.87639
500.0336,122.8648,91.99393
500.173,122.817,92.10859
500.3062,122.7738,92.2204
500.4332,122.7288,92.32599
500.554,122.684,92.42501
500.6725,122.6425,92.52101
500.7846,122.605,92.61148
500.9409,122.5539,92.73532
501.1091,122.4965,92.86806
501.2757,122.4393,92.99922
501.4387,122.3915,93.12918
501.5814,122.3502,93.24339
501.7231,122.3129,93.35661
501.856,122.2775,93.46339
501.9829,122.245,93.56415
502.1133,122.2163,93.66479
502.3002,122.1842,93.81302
502.4933,122.1469,93.96847
502.681,122.1241,94.11405
502.8464,122.1109,94.23589
503.0009,122.1014,94.34244
503.1848,122.0966,94.46683
503.3901,122.1017,94.60033
503.5671,122.1084,94.70909
503.7349,122.1224,94.8083
503.9956,122.1619,94.96432
504.2161,122.2001,95.09631
504.381,122.2361,95.18822
504.5109,122.2657,95.25813
504.6763,122.2986,95.34363
504.8577,122.3445,95.43584
505.0078,122.387,95.50597
505.1263,122.4227,95.55685
505.2741,122.4679,95.61692
505.4211,122.5136,95.67426
505.5379,122.5495,95.71411
505.6372,122.5813,95.74561
505.7633,122.623,95.78453
505.8987,122.6673,95.82639
506.01,122.7058,95.85975
506.1023,122.74,95.88606
506.1961,122.7734,95.91281
506.2859,122.8066,95.93877
506.3635,122.8359,95.9615
506.4398,122.8648,95.9837
506.5108,122.8917,96.00447
506.5723,122.9167,96.02252
506.6415,122.9438,96.04295
506.7146,122.9727,96.06478
506.7837,123.0012,96.08537
506.8444,123.0263,96.10356
506.9064,123.0516,96.12224
506.9721,123.0769,96.1423
507.0255,123.0979,96.1585
507.0823,123.1199,96.17564
507.1457,123.1445,96.19484
507.1993,123.166,96.21109
507.2547,123.1888,96.22755
507.3183,123.2159,96.24675
507.3786,123.2418,96.26534
507.4556,123.2742,96.28943
507.5283,123.3048,96.31281
507.5948,123.3332,96.33452
507.67,123.3633,96.35944
507.7536,123.398,96.38705
507.8306,123.4321,96.41286
507.898,123.462,96.43584
507.9721,123.4914,96.46122
508.06,123.5254,96.49141
508.1407,123.5574,96.51995
508.2093,123.5862,96.5443
508.2851,123.6168,96.57123
508.375,123.653,96.60358
508.4528,123.6845,96.6321
508.5238,123.7133,96.65782
508.6066,123.745,96.68723
508.7008,123.7796,96.72149
508.7777,123.808,96.74979
508.8475,123.8338,96.77547
508.927,123.8617,96.80496
509.022,123.8952,96.84043
509.1051,123.925,96.87165
509.18,123.9482,96.90004
509.2761,123.9755,96.93613
509.373,124.0032,96.9725
509.4623,124.0311,97.00597
509.5742,124.0639,97.04802
509.7007,124.0956,97.09618
509.8199,124.1244,97.14159
509.9191,124.148,97.17926
510.0073,124.1676,97.21244
